symbol,closing_price,15day closing_price,trade,value_mn,volume
beximco,30.7,29.9,1464,48.813,1631440
beximco,30.3,30.1,1315,35.738,1186530
beximco,30.1,30.4,1579,41.059,1338018
beximco,30.3,30.6,1832,47.291,1543368
beximco,30.3,29.9,1248,32.8,1092562
beximco,30.7,30.1,1196,33.88,1123012
beximco,30.8,30.5,1119,34.447,1133869
beximco,30.9,29.8,1342,42.139,1409006
beximco,31.1,30.2,1301,29.326,965192
beximco,31.4,30.8,1315,36.661,1186358
beximco,31.3,31.2,1275,42.651,1368603
beximco,30.2,31.2,1192,34.959,1118964
beximco,30.5,31.3,1372,49.034,1563993
beximco,30,31.2,1974,52.56,1676079
beximco,29.6,31.6,1635,42.713,1340985
beximco,29.9,32,2323,77.235,2394367
beximco,30.1,32.3,2309,72.546,2279730
beximco,30.4,31.2,2703,100.193,3206361
beximco,30.6,31.5,3199,87.373,2741287
beximco,29.9,32.2,1856,56.001,1724883
beximco,30.1,32.7,1836,65.113,1981571
beximco,30.5,32.7,2133,70.051,2136508
beximco,29.8,32.9,2315,105.752,3197823
beximco,30.2,33.2,2339,102.121,3059088
beximco,30.8,33.6,2672,100.989,2999067
beximco,31.2,33.9,2381,134.869,3977051
beximco,31.2,34.1,2831,193.17,5637891
beximco,31.3,34.4,4211,230.383,6670853
beximco,31.2,34.1,3004,171.91,5020712
beximco,31.6,34.1,3348,170.194,4983080
beximco,32,33.8,3500,172.331,5081733
beximco,32.3,33.8,4127,174.791,5105550
beximco,31.2,34,4286,215.439,6426297
beximco,31.5,33.2,3225,122.066,3665133
beximco,32.2,33.7,3183,179.594,5292944
beximco,32.7,33.3,2813,139.541,4179609
beximco,32.7,33.4,3741,172.571,5120564
beximco,32.9,34,1853,77.591,2283754
beximco,33.2,34,2315,144.009,4239241
beximco,33.6,34.1,2116,110.271,3206454
beximco,33.9,34.6,3017,177.404,5122986
beximco,34.1,34,2455,155.298,4551404
beximco,34.4,34.4,4220,206.073,5935124
beximco,34.1,34.2,4499,221.023,6463956
beximco,34.1,33.2,2413,114.402,3427449
beximco,33.8,33.8,4836,206.335,6022658
beximco,33.8,33.4,4393,204.347,6158997
